Vowel Ending,Number / ਵਚਨ,Grammar / ਵਯਾਕਰਣ,Gender / ਲਿੰਗ,Word Root,Type,Evaluation,Reference Verse,Darpan Translation,Darpan Meaning,ChatGPT Commentry,Word Index,Row State
ਹਠਲੀ,,ਵਿਸ਼ੇਸ਼ਣ / Adjective,,,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਥਹੁ,Singular / ਇਕ,Ablative ਅਪਾਦਾਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਥੀ,Plural / ਬਹੁ,Instrumental ਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਦਰਥਿ,Singular / ਇਕ,ਤਤਸਮ ਸ਼ਬਦ,Masculine / ਪੁਲਿੰਗ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੰਦਾ,Singular / ਇਕ,Of,Masculine / ਪੁਲਿੰਗ,,Postposition / ਸੰਬੰਧਕ,Predefined,,,,,,
ਹਦੂਰਿ,,,,,Adverb / ਕਿਰਿਆ ਵਿਸੇਸ਼ਣ,Predefined,,,,,,
ਹਦੂਰੇ,,Place / ਥਾਂ ਵਾਚਕ,,,Adverb / ਕਿਰਿਆ ਵਿਸੇਸ਼ਣ,Predefined,,,,,,
ਹਭ,Singular / ਇਕ,Accusative ਕਰਮ,Feminine / ਇਸਤਰੀ,Indefinite / ਅਨਿਸਚੇ ਵਾਚਕ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਭ (ਕਿਛੁ),Singular / ਇਕ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,Indefinite / ਅਨਿਸਚੇ ਵਾਚਕ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਭ ਥਾਇ,,Place / ਥਾਂ ਵਾਚਕ (Compound form),,,Adverb / ਕਿਰਿਆ ਵਿਸੇਸ਼ਣ,Predefined,,,,,,
ਹਭਾਹੂੰ,Plural / ਬਹੁ,Ablative ਅਪਾਦਾਨ,Trans / ਨਪੁਂਸਕ,Indefinite / ਅਨਿਸਚੇ ਵਾਚਕ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਭਿ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,Indefinite / ਅਨਿਸਚੇ ਵਾਚਕ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਭੇ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,Indefinite / ਅਨਿਸਚੇ ਵਾਚਕ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਮ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਮ,Plural / ਬਹੁ,Accusative ਕਰਮ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਮ,Plural / ਬਹੁ,Locative ਅਧਿਕਰਣ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਮ (ਕਉ),Plural / ਬਹੁ,Dative ਸੰਪ੍ਦਾਨ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਮ ਤੇ,Plural / ਬਹੁ,Ablative ਅਪਾਦਾਨ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਮਹਿ,Plural / ਬਹੁ,Accusative ਕਰਮ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਮਹੁ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਮਹੁ,Plural / ਬਹੁ,Dative ਸੰਪ੍ਦਾਨ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਮਰਾ,Plural / ਬਹੁ,Genitive ਸੰਬੰਧ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਮਰਾ,Singular / ਇਕ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Masculine / ਪੁਲਿੰਗ,1st Person / ਉੱਤਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਹਮਰੀ,Singular / ਇਕ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Feminine / ਇਸਤਰੀ,1st Person / ਉੱਤਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਹਮਰੇ,Plural / ਬਹੁ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Masculine / ਪੁਲਿੰਗ,1st Person / ਉੱਤਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਹਮਰੈ,Plural / ਬਹੁ,Genitive ਸੰਬੰਧ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਮਰੈ,Plural / ਬਹੁ,Locative ਅਧਿਕਰਣ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਮਰੈ,Singular / ਇਕ,Possessive Pronominal / ਸੰਬੰਧ ਦਰਸਾਊ,Masculine / ਪੁਲਿੰਗ,1st Person / ਉੱਤਮ ਪੁਰਖ,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਹਮਰੋ,Plural / ਬਹੁ,Genitive ਸੰਬੰਧ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਮਾਰਾ,Plural / ਬਹੁ,Genitive ਸੰਬੰਧ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਮਾਰੈ,Plural / ਬਹੁ,Dative ਸੰਪ੍ਦਾਨ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਮਾਰੈ,Plural / ਬਹੁ,Locative ਅਧਿਕਰਣ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਰਿ,,Caution/Warining,,,Interjection / ਵਿਸਮਿਕ,Predefined,,,,,,
ਹਰਿ,Singular / ਇਕ,ਤਤਸਮ ਸ਼ਬਦ,Masculine / ਪੁਲਿੰਗ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਰਿ ਹਰਿ,,Caution/Warining,,,Interjection / ਵਿਸਮਿਕ,Predefined,,,,,,
ਹਰੀਆਵਲਾ,Singular / ਇਕ,Qualitative ਗੁਣ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਹਲਤਿ ਪਲਤਿ,,Place / ਥਾਂ ਵਾਚਕ (Phrase form),,,Adverb / ਕਿਰਿਆ ਵਿਸੇਸ਼ਣ,Predefined,,,,,,
ਹਲੇ,,Vocative ਸੰਬੋਧਨ,,,Interjection / ਵਿਸਮਿਕ,Predefined,,,,,,
ਹਵਾਇ,Singular / ਇਕ,ਤਤਸਮ ਸ਼ਬਦ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਾ ਹਾ,,Painful,,,Interjection / ਵਿਸਮਿਕ,Predefined,,,,,,
ਹਾਏ ਹਾਇ,,Painful,,,Interjection / ਵਿਸਮਿਕ,Predefined,,,,,,
ਹਾਟਿ,Singular / ਇਕ,ਤਤਸਮ ਸ਼ਬਦ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਾਣਿ,Singular / ਇਕ,ਤਤਸਮ ਸ਼ਬਦ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਾਨਿ,Singular / ਇਕ,ਤਤਸਮ ਸ਼ਬਦ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਿ,Singular / ਇਕ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਿ,Singular / ਇਕ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਿ,Singular / ਇਕ,Instrumental ਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਿ,Singular / ਇਕ,Dative ਸੰਪ੍ਦਾਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਿ,Singular / ਇਕ,Ablative ਅਪਾਦਾਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਿ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਿ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਿ,Singular / ਇਕ,Dative ਸੰਪ੍ਦਾਨ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਿ,Singular / ਇਕ,Dative ਸੰਪ੍ਦਾਨ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਿਉ,Singular / ਇਕ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,ਉ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਿਆਉ,Singular / ਇਕ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,ਉ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਿਆਉ,Singular / ਇਕ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,ਉ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਿਆਇ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਉ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਿਕ,,Cardinal Numeral / ਸੰਖਿਆ ਵਾਚਕ,,One,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਹਿਕਨੀ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,Indefinite / ਅਨਿਸਚੇ ਵਾਚਕ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਿਕਨੀ,,Cardinal Numeral / ਸੰਖਿਆ ਵਾਚਕ,,One,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਹਿਕਮਤਿ,Singular / ਇਕ,ਤਤਸਮ ਸ਼ਬਦ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਿਕਿ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,Indefinite / ਅਨਿਸਚੇ ਵਾਚਕ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਿਕਿ,,Cardinal Numeral / ਸੰਖਿਆ ਵਾਚਕ,,One,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਹਿਕੁ,Singular / ਇਕ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,Indefinite / ਅਨਿਸਚੇ ਵਾਚਕ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਿਕੁ,,Cardinal Numeral / ਸੰਖਿਆ ਵਾਚਕ,,One,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਹਿਕੁ,Singular / ਇਕ,Nominative ਕਰਤਾ,Trans / ਨਪੁਂਸਕ,Indefinite / ਅਨਿਸਚੇ ਵਾਚਕ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਿਕੋ,Singular / ਇਕ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,Indefinite / ਅਨਿਸਚੇ ਵਾਚਕ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹਿੰਙੁ,Singular / ਇਕ,,Feminine / ਇਸਤਰੀ,ੁ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਿਵੈ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹਿਵੈ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੀ,,Sress / Emphasis / ਤਾਕੀਦ ਵਾਚਕ,,,Adverb / ਕਿਰਿਆ ਵਿਸੇਸ਼ਣ,Predefined,,,,,,
ਹੀਅਰੋ,Singular / ਇਕ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,ਕਨਾੱ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੁ,Plural / ਬਹੁ,Nominative ਕਰਤਾ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੁ,Plural / ਬਹੁ,Instrumental ਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੁ,Singular / ਇਕ,Ablative ਅਪਾਦਾਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੁ,Plural / ਬਹੁ,Ablative ਅਪਾਦਾਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੁ,Plural / ਬਹੁ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੁ,Plural / ਬਹੁ,Vocative ਸੰਬੋਧਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੁ,Singular / ਇਕ,Ablative ਅਪਾਦਾਨ,Feminine / ਇਸਤਰੀ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੁਕਮੀ,Singular / ਇਕ,Instrumental ਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੁਕਮੀ,Singular / ਇਕ,Genitive ਸੰਬੰਧ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੁਕਮੀ,Plural / ਬਹੁ,Instrumental ਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੁਕਮੀ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੁਕਮੇ,Singular / ਇਕ,Locative ਅਧਿਕਰਣ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੁਕਮੈ,Singular / ਇਕ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੁਜਤਿ,Singular / ਇਕ,ਤਤਸਮ ਸ਼ਬਦ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੁਟਇ,Singular / ਇਕ,Present ਵਰਤਮਾਨ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੁਣਿ,,Time / ਸਮਾ ਵਾਚਕ,,,Adverb / ਕਿਰਿਆ ਵਿਸੇਸ਼ਣ,Predefined,,,,,,
ਹੂ,,From,,,Postposition / ਸੰਬੰਧਕ,Predefined,,,,,,
ਹੂਂ,Plural / ਬਹੁ,Ablative ਅਪਾਦਾਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੂੰ,,Sress / Emphasis / ਤਾਕੀਦ ਵਾਚਕ,,,Adverb / ਕਿਰਿਆ ਵਿਸੇਸ਼ਣ,Predefined,,,,,,
ਹੂੰ,,From,,,Postposition / ਸੰਬੰਧਕ,Predefined,,,,,,
ਹੇ,,Vocative ਸੰਬੋਧਨ,,,Interjection / ਵਿਸਮਿਕ,Predefined,,,,,,
ਹੇਕੜੋ,,Cardinal Numeral / ਸੰਖਿਆ ਵਾਚਕ,,One,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਹੇਕੁ,,Cardinal Numeral / ਸੰਖਿਆ ਵਾਚਕ,,One,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਹੇਕੋ,,Cardinal Numeral / ਸੰਖਿਆ ਵਾਚਕ,,One,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਹੇਠਿ,,"Below, Under",,,Postposition / ਸੰਬੰਧਕ,Predefined,,,,,,
ਹੇਤਿ,,"For the sake of, For",,,Postposition / ਸੰਬੰਧਕ,Predefined,,,,,,
ਹੈ,,Sress / Emphasis / ਤਾਕੀਦ ਵਾਚਕ,,,Adverb / ਕਿਰਿਆ ਵਿਸੇਸ਼ਣ,Predefined,,,,,,
ਹੈ ਹੈ,,Painful,,,Interjection / ਵਿਸਮਿਕ,Predefined,,,,,,
ਹੈਰਤਿ,Singular / ਇਕ,ਤਤਸਮ ਸ਼ਬਦ,Feminine / ਇਸਤਰੀ,ਸਿਹਾਰੀ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੋ,Plural / ਬਹੁ,Vocative ਸੰਬੋਧਨ,Masculine / ਪੁਲਿੰਗ,ਮੁਕਤਾ Ending,Noun / ਨਾਂਵ,Predefined,,,,,,
ਹੋ,Plural / ਬਹੁ,Past ਭੁਤ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋ,Singular / ਇਕ,Future ਭਵਿੱਖਤ,Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋ,,Vocative ਸੰਬੋਧਨ,,,Interjection / ਵਿਸਮਿਕ,Predefined,,,,,,
ਹੋਆ,Singular / ਇਕ,Past ਭੁਤ,Masculine / ਪੁਲਿੰਗ,,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਇ ਹੈ,Singular / ਇਕ,Future ਭਵਿੱਖਤ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਇ ਕੈ,,Participle ਕਿਰਦੰਤ,Trans / ਨਪੁਂਸਕ,Indeclinable Past ਪੁਰਬ ਪੁਰਨ/ਕਾਰਜ ਕਾਰਨ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਇਹਿ,Singular / ਇਕ,Future ਭਵਿੱਖਤ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਇਬਾ,Singular / ਇਕ,Future ਭਵਿੱਖਤ,Masculine / ਪੁਲਿੰਗ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਇਬੋ,Plural / ਬਹੁ,Future ਭਵਿੱਖਤ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਇਬੋ,Singular / ਇਕ,Future ਭਵਿੱਖਤ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਇਲਾ,Singular / ਇਕ,Past ਭੁਤ,Masculine / ਪੁਲਿੰਗ,,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਇਲਾ,Singular / ਇਕ,Past ਭੁਤ,Masculine / ਪੁਲਿੰਗ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਈਅਹਿ,Singular / ਇਕ,Past ਭੁਤ,Feminine / ਇਸਤਰੀ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਸਾ,Singular / ਇਕ,Future ਭਵਿੱਖਤ,Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਸੀ,Singular / ਇਕ,Future ਭਵਿੱਖਤ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਹੁ,Singular / ਇਕ,Future ਭਵਿੱਖਤ (Imperative ਆਗਿਆ ਬੋਧਕ),Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਹੁ,Singular / ਇਕ,Future ਭਵਿੱਖਤ (Imperative ਆਗਿਆ ਬੋਧਕ),Trans / ਨਪੁਂਸਕ,1st Person / ਉੱਤਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਗੁ,Singular / ਇਕ,Future ਭਵਿੱਖਤ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਗੁ,Singular / ਇਕ,Future ਭਵਿੱਖਤ,Masculine / ਪੁਲਿੰਗ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਤ ਹੈ,Plural / ਬਹੁ,Auxiliary ਅਪੁਰਨ Past,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਤੁ (ਹੈ),Singular / ਇਕ,Present ਵਰਤਮਾਨ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਦਿਆਂ,,Participle ਕਿਰਦੰਤ,Trans / ਨਪੁਂਸਕ,Imperfect Aspect ਅਪੂਰਨ ਕਾਰਜ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਦੀ,Singular / ਇਕ,Present ਵਰਤਮਾਨ,Trans / ਨਪੁਂਸਕ,3rd Person / ਅਨਯ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਮਿ,Singular / ਇਕ,Future ਭਵਿੱਖਤ (Imperative ਆਗਿਆ ਬੋਧਕ),Trans / ਨਪੁਂਸਕ,2nd Person / ਮਧਮ ਪੁਰਖ,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਯੋ,Singular / ਇਕ,Past ਭੁਤ,Masculine / ਪੁਲਿੰਗ,,Verb / ਕਿਰਿਆ,Predefined,,,,,,
ਹੋਰ,Singular / ਇਕ,Indefinite / ਅਨਿਸਚੇ ਵਾਚਕ,Feminine / ਇਸਤਰੀ,,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਹੋਰਸੁ,Singular / ਇਕ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,Indefinite / ਅਨਿਸਚੇ ਵਾਚਕ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹੋਰਤੁ,Singular / ਇਕ,Instrumental ਕਰਣ,Trans / ਨਪੁਂਸਕ,Indefinite / ਅਨਿਸਚੇ ਵਾਚਕ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
ਹੋਰਤੁ,,Manner / ਵਿਧੀ ਵਾਚਕ,,,Adverb / ਕਿਰਿਆ ਵਿਸੇਸ਼ਣ,Predefined,,,,,,
ਹੋਰਤੁ (ਕਿਤੈ),Singular / ਇਕ,Indefinite / ਅਨਿਸਚੇ ਵਾਚਕ,Masculine / ਪੁਲਿੰਗ,,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਹੋਰਤੁ (ਕਿਤੈ),Singular / ਇਕ,Indefinite / ਅਨਿਸਚੇ ਵਾਚਕ,Feminine / ਇਸਤਰੀ,,Adjectives / ਵਿਸ਼ੇਸ਼ਣ,Predefined,,,,,,
ਹੋਰਥੈ,,Place / ਥਾਂ ਵਾਚਕ (Compound form),,,Adverb / ਕਿਰਿਆ ਵਿਸੇਸ਼ਣ,Predefined,,,,,,
ਹੋਰਨਾ (ਨੋ),Plural / ਬਹੁ,Accusative ਕਰਮ,Masculine / ਪੁਲਿੰਗ,Indefinite / ਅਨਿਸਚੇ ਵਾਚਕ,Pronoun / ਪੜਨਾਂਵ,Predefined,,,,,,
