Word,Meanings
ਅਲੁ ਮਲੁ,['ਗੰਦੀਆਂ ਚੀਜ਼ਾਂ']
ਅਲੂਣੀ,"['ਪ੍ਰੇਮ-ਵਿਹੂਣੀ', 'ਗੁਣ-ਹੀਣ']"
ਅਲੇਖ,"['ਜੋ ਬਿਆਨ ਨਾਹ ਕੀਤਾ ਜਾ ਸਕੇ', 'ਜਿਸ ਦੀ ਤਸਵੀਰ ਨਾਹ ਬਣਾਈ ਜਾ ਸਕੇ']"
ਅਲੇਖੁ,"['ਉਹ ਪ੍ਰਭੂ ਜਿਸ ਦੇ ਸਰੂਪ ਨੂੰ ਕੋਈ ਲੇਖ ਬਿਆਨ ਨਾਹ ਕਰ ਸਕੇ', 'ਜਿਸ ਉਤੇ ਕੀਤੇ ਕਰਮਾਂ ਦੇ ਸੰਸਕਾਰਾਂ ਦਾ ਪ੍ਰਭਾਵ ਨਹੀਂ {ਅ-ਲੇਖੁ}', 'ਜਿਸ ਦੀ ਤਸਵੀਰ ਨਾਹ ਬਣਾਈ ਜਾ ਸਕੇ', 'ਜਿਸ ਦੇ ਗੁਣ ਬਿਆਨ ਨਾਹ ਕੀਤੇ ਜਾ ਸਕਣ', 'ਜਿਸ ਦੀ ਕੋਈ ਤਸਵੀਰ ਨਾਹ ਬਣਾਈ ਜਾ ਸਕੇ']"
ਅਲੇਖੈ,"['ਲੇਖੇ ਤੋਂ ਬਾਹਰ', 'ਕਿਸੇ ਲੇਖੇ ਵਿਚ ਨਹੀਂ ਆਇਆ', 'ਅ-ਲੇਖੈ', 'ਬਿਨਾ ਲੇਖਾ ਕਰਨ ਦੇ', 'ਕੋਈ ਲਾਭ ਨਹੀਂ ਹੋਇਆ']"
ਅਲੇਪ,"['ਸਾਫ਼', 'ਨਿਰਲੇਪ']"
ਅਲੇਪਾ,"['ਵੱਖਰਾ', 'ਮਾਇਆ ਦੇ ਪ੍ਰਭਾਵ ਤੋਂ ਸੁਤੰਤਰ', 'ਨਿਰਲੇਪ', 'ਨਿਰਾਲੇ']"
ਅਲੋਅ,"['ਅਚਰਜ', '{ਅ-ਲੋਅ} ਜੋ ਕਦੇ ਵੇਖਿਆ ਨ ਹੋਵੇ']"
ਅਲੋਇ,"['ਵੇਖ ਕੇ', 'ਵੇਖ ਲਿਆ', 'ਨੀਝ ਲਾ ਕੇ', 'ਗਹੁ ਨਾਲ ਵੇਖ ਕੇ']"
ਅਲੋਇਅੜਾ,['ਵੇਖ ਲਿਆ ਹੈ']
ਅਲੋਇਆ,['ਵੇਖ ਲਿਆ']
ਅਲੋਈਐ,['ਵੇਖੀਦਾ ਹੈ']
ਅਲੋਕ,['ਵੇਖ ਕੇ']
ਅਲੋਕਨ,['ਵੇਖ-ਭਾਲ']
ਅਲੋਗਨੀ,['ਲੋਕ-ਲਾਜ ਤੋਂ ਰਹਿਤ']
ਅਲੋਵਉ,"['ਮੈਂ ਵੇਖਦਾ ਹਾਂ', 'ਅਲੋਵਉਂ']"
ਅਲੋਵਣਾ,['ਵੇਖਦੇ ਹਨ']
ਅਲੰਕਾਰ,['ਗਹਣੇ']
ਅਲੰਖ,['ਅਲੱਖ ਪ੍ਰਭੂ ਨੂੰ']
ਅਲੰਬਨੁ,['ਆਸਰਾ']
ਅਵਖਦ,['ਦਵਾਈ']
ਅਵਖਦੁ,['ਦਵਾਈ']
ਅਵਖਧ,"['ਦਵਾਈਆਂ', 'ਦਾਰੂ', 'ਦਵਾਈ']"
ਅਵਖਧੁ,"['ਜੜੀ-ਬੂਟੀ', 'ਦਾਰੂ', 'ਦਵਾਈ']"
ਅਵਗਣ,['ਔਗੁਣ ਪੈਦਾ ਕਰਨ ਵਾਲੀਆਂ ਗੱਲਾਂ']
ਅਵਗਣ ਵਿਕਣਿ,['ਅਉਗਣਾਂ ਦੇ ਵਿਕ ਜਾਣ ਨਾਲ']
ਅਵਗਣਿ,"['ਅਵਗਣ ਦੇ ਕਾਰਨ', 'ਔਗੁਣ ਦੀ ਰਾਹੀਂ', 'ਔਗੁਣ ਦੇ ਕਾਰਨ', 'ਭੁੱਲ ਦੇ ਕਾਰਨ', 'ਪਾਪ ਵਿਚ', 'ਔਗੁਣ ਵਿਚ', 'ਅਵਗਣ ਵਿਚ']"
ਅਵਗਣਿ ਮੁਠੀ,['ਜਿਸ ਨੂੰ ਵਿਕਾਰ ਨੇ ਲੁੱਟ ਲਿਆ']
ਅਵਗਣਿਆਰੁ,['ਔਗੁਣਾਂ ਨਾਲ ਭਰਿਆ ਹੋਇਆ']
ਅਵਗਣਿਆਰੇ,['ਔਗੁਣਾਂ ਨਾਲ ਭਰੀ ਹੋਈ']
ਅਵਗਣੀ,['ਔਗੁਣਾਂ ਨਾਲ']
ਅਵਗਤਿ,"['ਨਰਕ ਆਦਿਕ', 'ਅਦ੍ਰਿਸ਼ਟ ਪਰਮਾਤਮਾ']"
ਅਵਗਤਿ ਬਾਣਿ,['ਪ੍ਰਭੂ ਦੀ ਸਿਫ਼ਤਿ-ਸਾਲਾਹ ਦੀ ਬਾਣੀ']
ਅਵਗਨ,['ਕੋਝੇ ਕੰਮ']
ਅਵਗਾਹਿ,"['ਭਾਲ ਕਰ ਕਰ ਕੇ', 'ਗਾਹ ਕੇ', 'ਚੁੱਭੀ ਲਾ ਕੇ', 'ਖੋਜ ਖੋਜ ਕੇ']"
ਅਵਗਾਹੇ,['ਗਾਹ ਮਾਰੇ']
ਅਵਗਿਆ,['ਨਿਰਾਦਰੀ']
ਅਵਗੁਣ,['ਵਿਕਾਰ']
ਅਵਗੁਣਿ,"['ਮਾਇਆ ਪਿੱਛੇ ਭਟਕਣ ਦੀ ਭੁੱਲ ਦੇ ਕਾਰਨ', 'ਘਣੀ ਚੋਗ ਤੱਕਣ ਦੇ ਕਾਰਨ', 'ਔਗੁਣ ਦੇ ਕਾਰਨ', 'ਅਉਗਣ ਦੇ ਕਾਰਨ']"
ਅਵਗੁਣਿਆਰੀ,['ਔਗੁਣਾਂ ਨਾਲ ਭਰੀ ਹੋਈ']
ਅਵਗੁਣੀ,['ਵਿਕਾਰਾਂ ਨਾਲ']
ਅਵਘਟ,"['ਪੱਤਣ ਤੋਂ ਲਾਂਭ ਦਾ ਬਿਖੜਾ ਰਸਤਾ', '{ਸੰ: ਅਵਘੱਟ} ਖੱਡ', 'ਸਰੀਰ ਤੋਂ ਬਾਹਰ', 'ਔਖੇ']"
ਅਵਘਟ ਘਾਟ,['ਔਖਾ ਪਹਾੜੀ ਪੈਂਡਾ']
ਅਵਘਟ ਘਾਟੀ,"['ਔਖੀ ਘਾਟੀ', 'ਔਖਾ ਚੜ੍ਹਾਈ ਦਾ ਪੈਂਡਾ']"
ਅਵਘਟਿ,"['ਹਿਰਦੇ ਵਿਚ', 'ਔਖੀ ਘਾਟੀ ਤੋਂ', 'ਔਖੇ ਰਸਤੇ ਵਿਚ', 'ਸਰੀਰ ਤੋਂ ਬਾਹਰਲੇ ਥਾਂ ਵਿਚ', 'ਪਹਾੜੀ ਤੋਂ']"
ਅਵਝੇਰਾ,['ਝੰਬੇਲਾ']
ਅਵਤਰਿ,"['ਜਨਮ ਲੈ ਕੇ', 'ਅਵਤਾਰ ਲੈ ਕੇ', 'ਉਤਰ ਕੇ']"
ਅਵਤਰਿ੍ਯ੍ਯਉ,['ਅਵਤਾਰ ਹੋਇਆ']
ਅਵਤਾ,"['ਆਪ-ਹੁਦਰਾ', 'ਅਵੈੜਾ']"
ਅਵਤਾਰ,"['ਜਨਮ', 'ਥਾਂ ਮਿਲਣੀ', 'ਜੰਮਣਾ', 'ਪੈਦਾ ਕੀਤੇ ਹੋਏ ਜੀਵ', 'ਉਤਰੇ ਹੋਏ']"
ਅਵਤਾਰਾ,"['ਜਨਮਦਾ', 'ਜੰਮਣ']"
ਅਵਤਾਰੀ,['ਟਿਕਿਆ ਰਿਹਾ']
ਅਵਤਾਰੁ,['ਜਨਮ']
ਅਵਧ,"['ਅਖ਼ੀਰਲੀ ਹੱਦ', 'ਉਮਰ', 'ਅਖ਼ੀਰਲਾ ਸਮਾ']"
ਅਵਧਹਿ,['ਉਮਰ']
ਅਵਧਾਨ,['ਧਿਆਨ']
ਅਵਧੂਤਾ,"['ਤਿਆਗੀ', 'ਨਾਂਗੇ']"
ਅਵਰ,"['ਹੋਰਨਾਂ ਪਾਸੋਂ', 'ਹੋਰ ਦੀ', 'ਹੋਰਨਾਂ ਨੂੰ', 'ਹੋਰ ਰਸ', 'ਹੋਰ ਪ੍ਰੀਤ', 'ਬਾਕੀ ਦੀ', 'ਹੋਰ', 'ਅਤੇ', 'ਹੋਰ ਦੂਜੀ', 'ਕਿਸੇ ਹੋਰ ਥਾਂ', 'ਹੋਰ ਹੀ', 'ਹੋਰਨੀਂ ਪਾਸੀਂ', 'ਹੋਰ ਲੋਕ', 'ਅਰੁ']"
ਅਵਰ ਓਟ,['ਹੋਰ ਆਸਰਾ']
ਅਵਰ ਕਤ,"['ਹੋਰ ਕਿਥੇ?', 'ਹੋਰ ਕਿਸ ਪਾਸੇ']"
ਅਵਰ ਕਰਮ,['ਹੋਰ ਕੰਮਾਂ ਦੀ ਰਾਹੀਂ']
ਅਵਰ ਕਹਾ,['ਹੋਰ ਕਿਥੇ?']
ਅਵਰ ਕਾਹੂ,['ਕਿਸੇ ਹੋਰ ਦੀ']
ਅਵਰ ਕਾਹੂ ਕਾਜ,['ਕਿਸੇ ਹੋਰ ਕੰਮਾਂ ਵਿਚ']
ਅਵਰ ਕਾਹੂ ਕੀ,"['ਕਾਹੂ ਅਵਰ ਕੀ', 'ਕਿਸੇ ਹੋਰ ਦੀ', 'ਕਿਸੇ ਭੀ ਹੋਰ ਦੀ']"
ਅਵਰ ਜਨਾ,['ਹੋਰ ਬੰਦਿਆਂ ਨੂੰ']
ਅਵਰ ਠਾਹਰ,['ਕੋਈ ਹੋਰ ਆਸਰਾ']
ਅਵਰ ਡਾਲ,['ਹੋਰ ਡਾਲੀਆਂ']
ਅਵਰ ਨਹੀ ਦੇਖੈ,['ਹੋਰਨਾਂ ਦੇ ਸੁਆਰਥ ਨੂੰ ਨਹੀਂ ਵੇਖਦਾ']
ਅਵਰ ਬਿਧਿ,['ਹੋਰ ਹੀ ਤਰ੍ਹਾਂ']
ਅਵਰ ਮਰਤ,['ਹੋਰਨਾਂ ਦੇ ਮਰਨ ਤੇ']
ਅਵਰ ਸਰਿ,['ਕਿਸੇ ਹੋਰ ਦੇ ਨਾਲ']
ਅਵਰ ਸਿਆਣਪ,['ਹੋਰ ਹੋਰ ਚਤੁਰਾਈ']
ਅਵਰ ਸਿਖਾਈ,['ਹੋਰ ਤਰ੍ਹਾਂ ਸਿਖਾਈ ਗਈ']
ਅਵਰ ਸੇਵਕੁ,['ਕਿਸੇ ਹੋਰ ਦਾ ਸੇਵਕ']
ਅਵਰ ਸੰਗਿ,"['ਹੋਰਨਾਂ ਨਾਲੋਂ', 'ਹੋਰ ਹੋਰ ਨਾਲ']"
ਅਵਰ ਹਥਿ,['ਕਿਸੇ ਹੋਰ ਦੇ ਹੱਥ ਵਿਚ']
ਅਵਰਤਏਥਹ,['ਮੁੜ ਮੁੜ ਉਚਾਰਨ ਕਰ']
ਅਵਰਦਾ,['ਉਮਰ']
ਅਵਰਨੁ,"['ਚਾਰ ਵਰਨਾਂ ਵਾਲੇ ਵਿਤਕਰੇ ਤੋਂ ਰਹਿਤ', 'ਅ-ਵਰਨੁ']"
ਅਵਰਹ,['ਹੋਰਨਾਂ ਨੂੰ']
ਅਵਰਹ ਕਉ,['ਹੋਰਨਾਂ ਨੂੰ']
ਅਵਰਹਿ,['ਕਿਸੇ ਹੋਰ ਨੂੰ']
ਅਵਰਾ,"['ਹੋਰਨਾਂ ਨੂੰ', 'ਹੋਰਨਾਂ ਵਿਚ', 'ਹੋਰ ਹੋਰ', 'ਹੋਰ', 'ਅਕਾਲ ਪੁਰਖ ਤੋਂ ਲਾਂਭ ਵਲ ਲੈ ਜਾਣ ਵਾਲੇ', 'ਅਵਰਾਂ']"
ਅਵਰਾ ਕਉ,['ਹੋਰਨਾਂ ਨੂੰ']
ਅਵਰਾ ਕਾ ਭਾਰੁ,['ਹੋਰਨਾਂ ਦਾ ਭਾਰ']
ਅਵਰਾ ਕੇ,['ਹੋਰਨਾਂ ਦੇ']
ਅਵਰਾ ਜੋਗ,['ਹੋਰਨਾਂ ਜੋਗਾ']
ਅਵਰਾਹਾ,['ਹੋਰਨਾਂ ਨਾਲ']
ਅਵਰਿ,"['ਦੁਸ਼ਮਨ', '{ਲਫ਼ਜ਼ ‘ਅਵਰ’ ਤੋਂ ਬਹੁ-ਵਚਨ} ਹੋਰ', '{ਲਫ਼ਜ਼ ‘ਅਵਰ’ ਤੋਂ ਬਹੁ- ਵਚਨ} ਹੋਰ', 'ਹੋਰ {ਬਹੁ-ਵਚਨ ਲਫ਼ਜ਼ ‘ਅਵਰ’ ਤੋਂ}', 'ਹੋਰ', 'ਹੋਰ {ਬਹੁ-ਵਚਨ}', '{ਲਫ਼ਜ਼ ‘ਅਵਰ’ ਤੋਂ ਬਹੁ-ਵਚਨ} ਹੋਰ ਹੋਰ', 'ਹੋਰ ਹੋਰ', 'ਕਈ ਤਰ੍ਹਾਂ ਦੇ', '{ਲਫ਼ਜ਼ ‘ਅਵਰ’ ਤੋਂ ਬਹੁ-ਵਚਨ} ਹੋਰ ਸਾਰੇ', 'ਹੋਰ ਸਾਰੇ {ਅਵਰੁ: ਇਕ-ਵਚਨ; ਅਵਰਿ: ਬਹੁ-ਵਚਨ}', '{ਲਫ਼ਜ਼ ‘ਅਵਰ’ ਤੋਂ ਬਹੁ-ਵਚਨ}']"
ਅਵਰਿ ਉਪਾਵ,['ਹੋਰ ਹੀਲੇ']
ਅਵਰਿ ਕਾਰਾ,['ਹੋਰ ਸਾਰੇ ਕੰਮ']
ਅਵਰੀ,['ਕਿਸੇ ਹੋਰ ਵਿਚ']
ਅਵਰੀ ਕਉ,['ਹੋਰਨਾਂ ਨੂੰ ਜੋ ਆਦਰਸ਼ ਤੋਂ ਅਜੇ ਨੀਵੇਂ ਹਨ']
ਅਵਰੀਤਾ,['ਜਿਨ੍ਹਾਂ ਉਤੇ ਮਾਇਆ ਦਾ ਪਰਦਾ ਨਹੀਂ ਪਿਆ']
ਅਵਰੁ,"['ਕੋਈ ਹੋਰ', 'ਕਿਸੇ ਹੋਰ ਨੂੰ', 'ਕੋਈ ਹੋਰ ਪਦਾਰਥ', 'ਹੋਰ', 'ਸ੍ਰੇਸ਼ਟ', 'ਹੋਰ ਕੰਮ', 'ਕੋਈ ਹੋਰ ਸਾਧਨ', 'ਅਤੇ ਹੋਰ', 'ਕੁਝ ਹੋਰ', 'ਅੱਤ ਸ੍ਰੇਸ਼ਟ']"
ਅਵਰੁ ਕਛੁ,['ਕੁਝ ਹੋਰ']
ਅਵਰੁ ਕਛੂ,['ਹੋਰ ਕੁਝ ਭੀ']
ਅਵਰੁ ਕੋ,['ਕੋਈ ਹੋਰ']
ਅਵਰੁ ਕੋਇ,"['ਹੋਰ ਕੋਈ', 'ਕੋਈ ਹੋਰ']"
ਅਵਰੁ ਥਾਉ,['ਹੋਰ ਥਾਂ']
ਅਵਰੁ ਵੀਚਾਰੁ,['ਹੋਰ ਵੀਚਾਰ']
ਅਵਰੁ ਸਿ,['ਜਿਹੜਾ ਕੋਈ ਹੋਰ']
ਅਵਰੁ ਸੈਸਾਰੁ,['ਬਾਕੀ ਸਾਰਾ ਸੰਸਾਰ']
ਅਵਰੇ ਭਿ,['ਬਾਕੀ ਹੋਰ ਭੀ']
ਅਵਰੈ,['ਹੋਰ ਵਿਚ']
ਅਵਰੋ,['ਮਾਇਆ ਦਾ ਹੀ ਗੀਤ']
ਅਵਲਿ,"['ਸਭ ਦਾ ਮੂਲ', 'ਸ਼ੁਰੂ ਵਿਚ', 'ਸਭ ਤੋਂ ਪਹਿਲਾਂ', 'ਪਹਿਲਾ,', 'ਪਹਿਲਾ']"
ਅਵਲਿ ਅਉਲਿ,"['ਵੇਖੋ ਨੰ: 9', '10', 'ਅਵਲਿ ਅਉਲਿ', '11}', 'ਪਹਿਲਾਂ ਪਹਿਲ', 'ਸਭ ਤੋਂ ਪਹਿਲਾਂ {ਅੱਖਰ ‘ੳ’ ਤੇ ‘ਵ’ ਆਪੋ ਵਿਚ ਬਦਲ ਜਾਂਦੇ ਹਨ ਕਿਉਂਕਿ ਦੋਹਾਂ ਦਾ ਉਚਾਰਨ-ਅਸਥਾਨ ਇਹੋ ਹੀ ਹੈ; ਇਸੇ ਹੀ ‘ਵਾਰ’ ਵਿਚ ਲਫ਼ਜ਼ ‘ਪਉੜੀ’ ਤੇ ‘ਪਵੜੀ’ ਵਰਤੇ ਜਾ ਰਹੇ ਹਨ']"
ਅਵਲੋਕਨ,"['ਦਰਸਨ', 'ਵੇਖਣਾ,']"
ਅਵਲੋਕਨੁ,['ਵੇਖਣ']
ਅਵਲੋਕਨੁ ਕੀਨੋ,['ਵੇਖਿਆ']
ਅਵਲੋਕ੍ਯ੍ਯਾ,['ਵੇਖਿਆ']
ਅਵਸਥਾ,['ਉਮਰ']
ਅਵਾਈ,"['ਅਵੈੜਾ', 'ਅਵੈੜਾ-ਪਨ ਵਿਚ']"
ਅਵਾਸੁ,['ਮਹਲ']
ਅਵਾਹਨੁ,"['ਅਹਿੱਲ', 'ਅਡੋਲ']"
ਅਵਿਗਤ,"['ਅਦ੍ਰਿਸ਼ਟ', 'ਵਿਅਕਤੀ-ਰਹਿਤ', 'ਅਵਿਅਕਤ', 'ਅਦ੍ਰਿਸ਼ਟ ਪ੍ਰਭੂ', 'ਅਦ੍ਰਿਸ਼ਟ। ਨਿਰੰਜਨਿ-ਨਿਰੰਜਨ ਵਿਚ', 'ਅੱਵਿਅਕਤ']"
ਅਵਿਗਤਿ,"['ਜਾਣਨ ਤੋਂ ਪਰੇ', 'ਮੰਦੀ ਹਾਲਤ', 'ਢਹਿੰਦੀ ਆਤਮਕ ਅਵਸਥਾ', 'ਅੱਵਿਅਕਤ ਹਰੀ ਵਿਚ', 'ਅਦ੍ਰਿਸ਼ਟ ਪ੍ਰਭੂ ਵਿਚ', 'ਮੁਕਤੀ ਦੇ ਉਲਟ ਹਾਲਤ', 'ਅਵਿਗਤ ਵਿਚ']"
ਅਵਿਗਤੁ,"['ਅਦ੍ਰਿਸ਼ਟ', 'ਅਵਿਅਕਤ ਅਦ੍ਰਿਸ਼ਟ', 'ਅਦ੍ਰਿਸ਼ਟ ਪ੍ਰਭੂ']"
ਅਵਿਗਤੋ,"['ਅਦ੍ਰਿਸ਼ਟ', 'ਅਵਿਗਤ ਤੋਂ', 'ਅੱਵਿਅਕਤ ਤੋਂ', 'ਅਦ੍ਰਿਸ਼ਟ ਤੋਂ']"
ਅਵਿਤ,['ਵਿੱਤ ਹੀਣ ਕਰਨ ਵਾਲਾ']
ਅਵਿਨਾਸੀ,"['ਨਾਸ-ਰਹਿਤ', 'ਕਦੇ ਨਾਸ ਨਾਹ ਹੋਣ ਵਾਲਾ', 'ਆਤਮਕ ਮੌਤ ਤੋਂ ਬਚਿਆ ਹੋਇਆ']"
ਅਵਿਲੋਕਉ,"['ਮੈਂ ਵੇਖਦਾ ਹਾਂ', 'ਅਵਿਲੋਕਉਂ']"
ਅਵਿਲੋਕਨੋ,['ਮੈਂ ਵੇਖਾਂ']
ਅਵਿਲੋਕੇ,['ਮੈਂ ਵੇਖ ਲਏ ਹਨ']
ਅਵਿਲੰਬ,['ਆਸਰਾ']
ਅਵਿਲੰਬਿ,['ਆਸਰੇ ਨਾਲ']
ਅਵੀਚਾਰੀ,"['ਵਿਚਾਰ ਦੀ ਗੱਲ ਨਾਹ ਕਰ ਸਕਣ ਵਾਲਾ', 'ਵਿਚਾਰ ਤੋਂ ਸੱਖਣੇ', 'ਬੇ-ਸਮਝ']"
ਅਸ,"['ਐਸਾ', 'ਉਹ', 'ਅਤੇ']"
ਅਸ ਗਾ,['ਇਸ ਦਾ']
ਅਸ ਪਰ,"['ਅਸਾਡਾ ਤੇ ਪਰਾਇਆ', 'ਆਪਣਾ ਪਰਾਇਆ']"
ਅਸ ਬਡ,['ਅਜਿਹੇ ਵੱਡੇ']
ਅਸਗਾਹ,"['ਨਾਹ ਗਾਹਿਆ ਜਾਣ ਵਾਲਾ', 'ਬਹੁਤ ਡੂੰਘਾ', 'ਅਥਾਹ', 'ਡੂੰਘੇ ਪਾਣੀ', 'ਜਗਤ ਦੇ ਝੰਬੇਲੇ ਅਥਾਹ ਸਮੁੰਦਰ']"
ਅਸਗਾਹੁ,"['ਜਿਸ ਦੀ ਹਾਥ ਨ ਪੈ ਸਕੇ', 'ਅਥਾਹ', 'ਬਹੁਤ ਡੂੰਘਾ', 'ਡੂੰਘਾ ਸਮੁੰਦਰ', 'ਸੰਸਾਰ']"
ਅਸਟ,['ਅੱਠ']
ਅਸਟ ਦਸਾ,"['ਅਠ ਤੇ ਦਸ', 'ਅਠਾਰਾਂ', 'ਅਠਾਰਾਂ {ਅੱਠ ਤੇ ਦਸ}', 'ਅਠਾਰਾਂ ਪੁਰਾਣ']"
ਅਸਟ ਧਾਤੁ,"['ਅੱਠ ਧਾਤਾਂ', 'ਅੱਠ ਧਾਤਾਂ ਦਾ ਬਣਿਆ ਸਰੀਰ']"
ਅਸਟ ਸਾਜ,['ਅਸ਼ਟਾਧਿਆਈ ਆਦਿਕ ਵਿਆਕਰਨਿਕ ਗ੍ਰੰਥ']
ਅਸਟ ਸਿਧਿ,"['ਅੱਠ ਸਿੱਧੀਆਂ {ਅਣਿਮਾ, ਮਹਿਮਾ, ਲਘਿਮਾ, ਗਰਿਮਾ, ਪ੍ਰਾਪਤੀ, ਪ੍ਰਾਕਾਮ੍ਯ, ਈਸ਼ਿਤਾ, ਵਸ਼ਿਤਾ}']"
ਅਸਟ ਸਿਧੀ,"['ਅੱਠ ਸਿੱਧੀਆਂ {ਅੱਠ ਕਰਾਮਾਤੀ ਤਾਕਤਾਂ: ਅਣਿਮਾ, ਮਹਿਮਾ, ਲਘਿਮਾ, ਗਰਿਮਾ, ਪ੍ਰਾਪਤੀ, ਪ੍ਰਾਕਾਮ੍ਯ, ਈਸ਼ਿਤਾ, ਵਸ਼ਿਤਾ; ਅਣਿਮਾ: ਦੂਜੇ ਦਾ ਰੂਪ ਹੋ ਜਾਣਾ; ਮਹਿਮਾ: ਦੇਹ ਨੂੰ ਵੱਡਾ ਕਰ ਲੈਣਾ; ਲਘਿਮਾ: ਸਰੀਰ ਨੂੰ ਛੋਟਾ ਕਰ ਲੈਣਾ; ਗਰਿਮਾ: ਭਾਰੀ ਹੋ ਜਾਣਾ; ਪ੍ਰਾਪਤੀ: ਮਨ-ਇੱਛਤ ਭੋਗ ਹਾਸਲ ਕਰ ਲੈਣ ਦੀ ਸਮਰੱਥਾ; ਪ੍ਰਾਕਾਮ੍ਯ-ਹੋਰਨਾਂ ਦੇ ਦਿਲ ਦੀ ਜਾਣ ਲੈਣ ਦੀ ਤਾਕਤ; ਈਸ਼ਿਤਾ: ਆਪਣੀ ਇੱਛਾ ਅਨੁਸਾਰ ਸਭ ਨੂੰ ਪ੍ਰੇਰਨਾ; ਵਸ਼ਿਤਾ: ਸਭ ਨੂੰ ਵੱਸ ਕਰ ਲੈਣਾ}']"
ਅਸਟਦਸੀ,['ਅਠਾਰਾਂ ਨੇ']
ਅਸਟਪਦੀ,"['{ਅਸਟ: ਅੱਠ; ਪਦ: ਬੰਦ} ਅੱਠ ਬੰਦਾਂ ਵਾਲੀ', '{ਅਸਟ-ਅੱਠ; ਪਦ: ਬੰਦ} ਅੱਠ ਬੰਦਾਂ ਵਾਲਾ ਸ਼ਬਦ']"
ਅਸਟਮ,['ਅਠਵੀਂ']
ਅਸਟਮੀ,['ਅੱਠਵੀਂ']
ਅਸਟਿ ਸਿਧਿ,['ਅੱਠ ਸਿੱਧੀਆਂ']
ਅਸਤ,"['ਡੁੱਬ ਜਾਣਾ', 'ਹੱਡੀਆਂ', 'ਮੌਤ']"
ਅਸਤਿ,"['ਜਿਸ ਦੀ ਕੋਈ ਹਸਤੀ ਨਹੀਂ ਹੈ', 'ਕਾਇਮ ਹੈ', 'ਹੱਡੀ', 'ਹੈ']"
ਅਸਤੀ,['ਹੱਡੀ']
ਅਸਤੁ,['ਡੁੱਬਾ ਹੋਇਆ']
ਅਸਥਲ,"['ਰੋੜ', 'ਟਿੱਬੇ']"
ਅਸਥਲੁ,['ਥਾਂ']
ਅਸਥਾਨ,['ਥਾਂ']
ਅਸਥਾਨ ਬਿਖੜੇ,['ਔਖੇ ਥਾਂ']
ਅਸਥਾਨਾ,"['ਥਾਂ', 'ਤੀਰਥ']"
ਅਸਥਾਨਿ,['ਥਾਂ ਵਿਚ']
ਅਸਥਾਨੁ,"['ਗੁਫ਼ਾ ਆਦਿਕ ਥਾਂ', 'ਥਾਂ']"
ਅਸਥਾਨੇ,"['ਥਾਂ ਦੇਂਦਾ ਹੈ', 'ਟਿਕਾਂਦਾ ਹੈ']"
ਅਸਥਾਪਨੰ,['ਟਿਕਾਉਂਦਾ ਹੈ']
ਅਸਥਾਵਰ,"['ਰੁੱਖ ਆਦਿਕ', 'ਇਕ ਥਾਂ ਤੇ ਖਲੋਤੇ ਰਹਿਣ ਵਾਲੇ ਪਰਬਤ', 'ਪਰਬਤ ਆਦਿਕ ਜੋ ਆਪਣੇ ਥਾਂ ਤੋਂ ਨਾਹ ਹਿੱਲਣ ਵਾਲੇ ਹਨ']"
ਅਸਥਾਵਰੁ,['ਜੋ ਇੱਕ ਥਾਂ ਟਿਕੇ ਰਹਿੰਦੇ ਹਨ']
ਅਸਥਿਤ,"['ਸਦਾ ਕਾਇਮ ਰਹਿਣ ਵਾਲਾ', 'ਅਡੋਲ-ਚਿੱਤ']"
ਅਸਥਿਤਿ,"['ਅਡੋਲਤਾ', 'ਪੱਕਾ ਟਿਕਾਣਾ', 'ਟਿਕਾਉ']"
ਅਸਥਿਰ,"['ਸਦਾ ਕਾਇਮ ਰਹਿਣ ਵਾਲਾ', 'ਸਦਾ ਕਾਇਮ ਰਹਿਣ ਵਾਲੇ', 'ਅਡੋਲਤਾ ਵਿਚ ਰੱਖਣ ਵਾਲੀ', 'ਅਡੋਲ-ਚਿੱਤ', 'ਅਡੋਲ']"
ਅਸਥਿਰੁ,"['ਸਦਾ ਕਾਇਮ ਰਹਿਣ ਵਾਲਾ', 'ਟਿਕੇ ਹੋਏ', 'ਅਡੋਲ ਆਤਮਕ ਜੀਵਨ ਵਾਲੇ', 'ਜਨਮ ਮਰਨ ਦੇ ਗੇੜ ਤੋਂ ਬਚਿਆ ਹੋਇਆ', 'ਟਿਕਵਾਂ', 'ਅਡੋਲ ਰਹਿਣ ਵਾਲੀ', 'ਅਟੱਲ ਆਤਮਕ ਜੀਵਨ ਵਾਲੇ', 'ਅਟੱਲ ਜੀਵਨ ਵਾਲੇ', 'ਸ਼ਾਂਤ', 'ਅਟੱਲ', 'ਸਦਾ ਕਾਇਮ ਰਹਿਣ ਵਾਲੀ', 'ਥਿਰ', 'ਸਦਾ-ਥਿਰ ਰਹਿਣ ਵਾਲਾ', 'ਅਡੋਲ-ਚਿੱਤ', 'ਅਡੋਲ', 'ਉਹ ਜਿਹੜੇ ਮਾਇਆ ਦੇ ਹੱਥਾਂ ਉਤੇ ਨਹੀਂ ਨੱਚਦੇ', 'ਟਿਕਿਆ ਹੋਇਆ']"
ਅਸਥਿਰੁ ਥੀਆ,"['ਅਡੋਲ ਹੋ ਗਿਆ', 'ਟਿਕ ਗਿਆ']"
